model,dataset,class,temperature,precision,recall,f1_score,accuracy
Gemma3:270m,Sentiment_taxonomy,Negative,temperature_0,0.3913,1.0,0.5625,0.44
Gemma3:270m,Sentiment_taxonomy,Negative,temperature_1,0.3913,1.0,0.5625,0.44
Gemma3:270m,Sentiment_taxonomy,Neutral,temperature_0,0.0,0.0,0.0,0.44
Gemma3:270m,Sentiment_taxonomy,Neutral,temperature_1,0.0,0.0,0.0,0.44
Gemma3:270m,Sentiment_taxonomy,Positive,temperature_0,1.0,0.3333,0.5,0.44
Gemma3:270m,Sentiment_taxonomy,Positive,temperature_1,1.0,0.3333,0.5,0.44
