model,dataset,class,temperature,precision,recall,f1_score,accuracy
Gemma3:270m,Sentiment_vocab,Negative,temperature_0,0.4091,1.0,0.5806,0.44
Gemma3:270m,Sentiment_vocab,Negative,temperature_1,0.4091,1.0,0.5806,0.44
Gemma3:270m,Sentiment_vocab,Neutral,temperature_0,0.0,0.0,0.0,0.44
Gemma3:270m,Sentiment_vocab,Neutral,temperature_1,0.0,0.0,0.0,0.44
Gemma3:270m,Sentiment_vocab,Positive,temperature_0,0.6667,0.3333,0.4444,0.44
Gemma3:270m,Sentiment_vocab,Positive,temperature_1,0.6667,0.3333,0.4444,0.44
